observation_id,source,source_url,collection_timestamp,airline,flight_number,origin,destination,route,travel_date,departure_time,arrival_time,stops,cabin_class,fare_class,fare_type,base_fare,taxes,user_development_fee,convenience_fee,other_fees,total_fare,currency,availability_status,seats_available,advance_purchase_days,advance_purchase_window,raw_fare_text,cleaning_status,outlier_flag,duplicate_flag,missing_fields
b6eb54d1-f5d3-46b5-83e9-113e10f51579,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Value,,11308.0,2611.0,354.0,,,13919.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI240220260918BOMHYDAI253120260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Value"", ""fareId"": ""Value"", ""cheapPI"": ""true"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI253120260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI253120260918_1AWS4%231AWS4"", ""OD"": [{""title"": ""Important",CLEAN,False,False,convenience_fee;fare_type;other_fees;seats_available
2d75a121-6073-4fc1-98c5-43bfcae54282,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Value,,11581.0,2624.0,354.0,,,14205.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI240220260918BOMHYDAI286920260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Value"", ""fareId"": ""Value"", ""cheapPI"": ""true"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI286920260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI286920260918_1AWS4%231AWS4"", ""OD"": [{""title"": ""Important",CLEAN,False,True,convenience_fee;fare_type;other_fees;seats_available
3e0e4322-4b5b-4f9a-9024-ce7c7df32566,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Value,,11661.0,2628.0,354.0,,,14289.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI240220260918BOMHYDAI261920260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Value"", ""fareId"": ""Value"", ""cheapPI"": ""true"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI261920260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI261920260918_1AWS4%231AWS4"", ""OD"": [{""title"": ""Important",CLEAN,False,True,convenience_fee;fare_type;other_fees;seats_available
795c0e3c-45f7-4152-ba81-8d7fc847a297,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Classic,,12308.0,2661.0,354.0,,,14969.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI2402CF20260918BOMHYDAI2531CF20260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Classic"", ""fareId"": ""Classic"", ""cheapPI"": ""false"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2531CF20260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2531CF20260918_1AWS4%231AWS4"", ""OD"": [{""t",CLEAN,False,False,convenience_fee;fare_type;other_fees;seats_available
db23f7e2-5a73-4115-8df8-4acdeaa99fc2,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Classic,,12581.0,2674.0,354.0,,,15255.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI2402CF20260918BOMHYDAI2869CF20260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Classic"", ""fareId"": ""Classic"", ""cheapPI"": ""false"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2869CF20260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2869CF20260918_1AWS4%231AWS4"", ""OD"": [{""t",CLEAN,False,True,convenience_fee;fare_type;other_fees;seats_available
b3220ad7-7f25-4ef2-a4be-5bc7aea002f2,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Classic,,12661.0,2678.0,354.0,,,15339.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI2402CF20260918BOMHYDAI2619CF20260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Classic"", ""fareId"": ""Classic"", ""cheapPI"": ""false"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2619CF20260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2619CF20260918_1AWS4%231AWS4"", ""OD"": [{""t",CLEAN,False,True,convenience_fee;fare_type;other_fees;seats_available
a25690d4-2a2c-4097-af39-981cf77aa6f3,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Value,,12914.0,2691.0,354.0,,,15605.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI240220260918BOMHYDAI287520260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Value"", ""fareId"": ""Value"", ""cheapPI"": ""true"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI287520260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI287520260918_1AWS4%231AWS4"", ""OD"": [{""title"": ""Important",CLEAN,False,True,convenience_fee;fare_type;other_fees;seats_available
65ac7c7b-14f3-437a-b297-2e57f015d05a,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Value,,13771.0,2734.0,354.0,,,16505.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI240220260918BOMHYDAI244420260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Value"", ""fareId"": ""Value"", ""cheapPI"": ""true"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI244420260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI240220260918BOMHYDAI244420260918_1AWS4%231AWS4"", ""OD"": [{""title"": ""Important",CLEAN,False,True,convenience_fee;fare_type;other_fees;seats_available
e920af07-6ae4-4d77-9344-0a06fcde3709,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Classic,,13914.0,2741.0,354.0,,,16655.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI2402CF20260918BOMHYDAI2875CF20260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Classic"", ""fareId"": ""Classic"", ""cheapPI"": ""false"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2875CF20260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI2402CF20260918BOMHYDAI2875CF20260918_1AWS4%231AWS4"", ""OD"": [{""t",CLEAN,False,True,convenience_fee;fare_type;other_fees;seats_available
70fdee09-5081-4a75-b123-d5d2370705ef,yatra,https://flight.yatra.com/air-search/dom2/trigger?type=O&origin=BLR&originCode=BLR&destination=HYD&destinationCode=HYD&flight_depart_date=18/09/2026&ADT=1&CHD=0&INF=0&class=Economy,2026-09-17T18:01:01.977351+00:00,Air India,AI 2402,BLR,HYD,BLR-HYD,2026-09-18,06:35,08:35,1,Economy,Flex,,14308.0,2761.0,354.0,,,17069.0,INR,available,,1,T+1,"{""ID"": ""BLRBOMAI2402F20260918BOMHYDAI2531F20260918_1AWS4"", ""mode"": ""Background"", ""upsellType"": ""Eco Flex"", ""fareId"": ""Flex"", ""cheapPI"": ""false"", ""supplierCode"": ""1AWS4"", ""isMultiBranded"": ""true"", ""xmlKey"": ""1AWS4"", ""isSTU"": """", ""redirectionKey"": ""DUMMY_RDR_SCID%23BLRBOMAI2402F20260918BOMHYDAI2531F20260918_1AWS4%231AWS4"", ""redirection"": ""https://secure.yatra.com/air-service/metadom/priceRedirect?key=DUMMY_RDR_SCID%23BLRBOMAI2402F20260918BOMHYDAI2531F20260918_1AWS4%231AWS4"", ""OD"": [{""title"": ""Impo",CLEAN,False,False,convenience_fee;fare_type;other_fees;seats_available
